style_label,count,accuracy,precision,recall,f1,roc_auc
Art_Nouveau,200,0.95,0.9090909090909091,1.0,0.9523809523809523,0.9974
Baroque,200,0.955,0.941747572815534,0.97,0.9556650246305419,0.9937
Expressionism,200,0.97,0.9519230769230769,0.99,0.9705882352941176,0.9923
Impressionism,200,0.975,0.9702970297029703,0.98,0.9751243781094527,0.9950000000000001
Post_Impressionism,200,0.935,0.9065420560747663,0.97,0.9371980676328503,0.9884999999999999
Realism,200,0.92,0.9468085106382979,0.89,0.9175257731958762,0.9846999999999999
Renaissance,200,0.935,0.9223300970873787,0.95,0.9359605911330049,0.9770000000000001
Romanticism,200,0.94,0.9313725490196079,0.95,0.9405940594059405,0.9887
Surrealism,200,0.855,0.8317757009345794,0.89,0.8599033816425121,0.941
Ukiyo_e,200,0.955,0.9789473684210527,0.93,0.9538461538461539,0.996
