style_label,count,accuracy,precision,recall,f1,roc_auc
Art_Nouveau,200,0.95,0.9166666666666666,0.99,0.9519230769230769,0.9962000000000001
Baroque,200,0.92,0.9565217391304348,0.88,0.9166666666666666,0.9884
Expressionism,200,0.96,0.9693877551020408,0.95,0.9595959595959596,0.9893000000000001
Impressionism,200,0.96,0.96,0.96,0.96,0.9925
Post_Impressionism,200,0.94,0.9150943396226415,0.97,0.941747572815534,0.9869000000000001
Realism,200,0.92,0.9666666666666667,0.87,0.9157894736842105,0.9809
Renaissance,200,0.93,0.9387755102040817,0.92,0.9292929292929293,0.9732999999999999
Romanticism,200,0.905,0.9655172413793104,0.84,0.8983957219251337,0.9812
Surrealism,200,0.845,0.8165137614678899,0.89,0.8516746411483254,0.9262999999999999
Ukiyo_e,200,0.95,1.0,0.9,0.9473684210526315,0.9968
