style_label,count,accuracy,precision,recall,f1,roc_auc
Art_Nouveau,200,0.975,0.9523809523809523,1.0,0.975609756097561,0.9974999999999999
Baroque,200,0.985,0.98989898989899,0.98,0.9849246231155779,0.9984999999999999
Expressionism,200,0.975,0.9702970297029703,0.98,0.9751243781094527,0.9974
Impressionism,200,0.985,0.98989898989899,0.98,0.9849246231155779,0.999
Post_Impressionism,200,0.975,0.9702970297029703,0.98,0.9751243781094527,0.9926
Realism,200,0.95,0.9787234042553191,0.92,0.9484536082474226,0.9954999999999999
Renaissance,200,0.975,0.9702970297029703,0.98,0.9751243781094527,0.9965999999999999
Romanticism,200,0.955,0.9595959595959596,0.95,0.9547738693467337,0.9971
Surrealism,200,0.95,0.9245283018867925,0.98,0.9514563106796117,0.988
Ukiyo_e,200,0.985,0.98989898989899,0.98,0.9849246231155779,0.9991
