style_label,count,accuracy,precision,recall,f1,roc_auc
Art_Nouveau,200,0.985,0.970873786407767,1.0,0.9852216748768473,1.0
Baroque,200,0.995,1.0,0.99,0.9949748743718593,1.0
Expressionism,200,0.99,0.99,0.99,0.99,0.9998
Impressionism,200,0.99,0.99,0.99,0.99,0.9999
Post_Impressionism,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9999
Realism,200,0.99,0.99,0.99,0.99,0.9995999999999999
Renaissance,200,0.995,1.0,0.99,0.9949748743718593,1.0
Romanticism,200,0.985,0.970873786407767,1.0,0.9852216748768473,0.9992
Surrealism,200,0.97,0.9795918367346939,0.96,0.9696969696969697,0.9976999999999999
Ukiyo_e,200,1.0,1.0,1.0,1.0,1.0
