condition,value,accuracy,precision,recall,f1,roc_auc,loss
clean,1.0,0.903,0.907070707070707,0.898,0.9025125628140703,0.968602,0.30475564098358154
contrast,0.5,0.8795,0.9129488574537541,0.839,0.8744137571651902,0.9550529999999999,0.3450130934715271
contrast,1.5,0.887,0.9048117154811716,0.865,0.8844580777096115,0.956382,0.3324860644340515
contrast,2.0,0.867,0.8912579957356077,0.836,0.8627450980392157,0.945969,0.35243288588523863
brightness,0.7,0.896,0.9221748400852878,0.865,0.8926728586171311,0.9628919999999999,0.31889625334739685
brightness,1.3,0.895,0.9080578512396694,0.879,0.8932926829268293,0.9608760000000001,0.32228287649154663
saturation,0.5,0.7985,0.9686028257456829,0.617,0.7538179596823458,0.951424,0.4109635925292969
saturation,1.5,0.874,0.8096026490066225,0.978,0.8858695652173914,0.9642280000000001,0.33552769470214844
blur,1.0,0.852,0.8229357798165138,0.897,0.8583732057416268,0.932893,0.37831080293655395
blur,2.0,0.7115,0.659622641509434,0.874,0.7518279569892473,0.8337860000000001,0.5445176973342896
noise,0.03,0.879,0.9248878923766816,0.825,0.872093023255814,0.96092,0.3320557446479797
noise,0.08,0.8545,0.9425717852684145,0.755,0.8384230982787341,0.9532160000000001,0.36740100717544555
jpeg,90.0,0.9005,0.8938053097345132,0.909,0.9013386217154189,0.966441,0.30924668383598325
jpeg,50.0,0.8385,0.7895637296834902,0.923,0.851083448593822,0.9306969999999999,0.3943648474216461
jpeg,20.0,0.826,0.7869718309859155,0.894,0.8370786516853933,0.914539,0.41835690546035764
resample,128.0,0.8235,0.7772065124250214,0.907,0.8371019843101062,0.9218120000000001,0.40510403776168824
resample,64.0,0.7175,0.6435643564356436,0.975,0.7753479125248509,0.8980999999999999,0.5360644164085389
