style_label,count,accuracy,precision,recall,f1,roc_auc
Art_Nouveau,200,0.975,0.9797979797979798,0.97,0.9748743718592965,0.9984
Baroque,200,0.935,0.8849557522123894,1.0,0.9389671361502347,0.9836
Expressionism,200,0.95,0.9090909090909091,1.0,0.9523809523809523,0.9931000000000001
Impressionism,200,0.975,0.9797979797979798,0.97,0.9748743718592965,0.9984999999999999
Post_Impressionism,200,0.925,0.897196261682243,0.96,0.927536231884058,0.9906
Realism,200,0.94,0.9583333333333334,0.92,0.9387755102040817,0.9853000000000001
Renaissance,200,0.94,0.9313725490196079,0.95,0.9405940594059405,0.9881
Romanticism,200,0.925,0.9292929292929293,0.92,0.9246231155778895,0.9804
Surrealism,200,0.905,0.8932038834951457,0.92,0.9064039408866995,0.9688
Ukiyo_e,200,0.94,0.9583333333333334,0.92,0.9387755102040817,0.9879
