style_label,count,accuracy,precision,recall,f1,roc_auc
Art_Nouveau,200,0.97,0.97,0.97,0.97,0.9966
Baroque,200,0.945,0.9238095238095239,0.97,0.9463414634146341,0.9832000000000001
Expressionism,200,0.94,0.9313725490196079,0.95,0.9405940594059405,0.9894000000000001
Impressionism,200,0.975,0.9896907216494846,0.96,0.9746192893401016,0.9974
Post_Impressionism,200,0.95,0.9326923076923077,0.97,0.9509803921568627,0.9931
Realism,200,0.9,0.9761904761904762,0.82,0.8913043478260869,0.9842
Renaissance,200,0.93,0.9387755102040817,0.92,0.9292929292929293,0.9875
Romanticism,200,0.89,0.9534883720930233,0.82,0.8817204301075269,0.9775
Surrealism,200,0.9,0.9166666666666666,0.88,0.8979591836734694,0.9575
Ukiyo_e,200,0.92,0.9666666666666667,0.87,0.9157894736842105,0.9848999999999999
