style_label,count,accuracy,precision,recall,f1,roc_auc
Art_Nouveau,200,0.99,0.99,0.99,0.99,0.9992000000000001
Baroque,200,0.98,0.98,0.98,0.98,0.9992
Expressionism,200,0.965,0.9428571428571428,0.99,0.9658536585365853,0.9965999999999999
Impressionism,200,0.985,0.98989898989899,0.98,0.9849246231155779,0.9973000000000001
Post_Impressionism,200,0.975,0.9523809523809523,1.0,0.975609756097561,0.9971
Realism,200,0.94,0.9888888888888889,0.89,0.9368421052631579,0.9965999999999999
Renaissance,200,1.0,1.0,1.0,1.0,1.0
Romanticism,200,0.98,0.98,0.98,0.98,0.9978
Surrealism,200,0.975,0.9797979797979798,0.97,0.9748743718592965,0.9964999999999999
Ukiyo_e,200,0.995,1.0,0.99,0.9949748743718593,0.9998
