style_label,count,accuracy,precision,recall,f1,roc_auc
Art_Nouveau,200,0.995,1.0,0.99,0.9949748743718593,0.9999
Baroque,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9999
Expressionism,200,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9997
Impressionism,200,0.99,1.0,0.98,0.98989898989899,1.0
Post_Impressionism,200,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9997
Realism,200,0.995,1.0,0.99,0.9949748743718593,0.9999
Renaissance,200,1.0,1.0,1.0,1.0,1.0
Romanticism,200,0.99,0.99,0.99,0.99,0.9984
Surrealism,200,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9979
Ukiyo_e,200,0.995,0.9900990099009901,1.0,0.9950248756218906,1.0
