style_label,count,accuracy,precision,recall,f1,roc_auc
Art_Nouveau,200,1.0,1.0,1.0,1.0,1.0
Baroque,200,0.995,0.9900990099009901,1.0,0.9950248756218906,1.0
Expressionism,200,0.98,0.9705882352941176,0.99,0.9801980198019802,0.9994999999999999
Impressionism,200,1.0,1.0,1.0,1.0,1.0
Post_Impressionism,200,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9983
Realism,200,0.99,0.99,0.99,0.99,0.9984
Renaissance,200,1.0,1.0,1.0,1.0,1.0
Romanticism,200,0.99,0.99,0.99,0.99,0.9970999999999999
Surrealism,200,0.975,0.9896907216494846,0.96,0.9746192893401016,0.9972
Ukiyo_e,200,1.0,1.0,1.0,1.0,1.0
